Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹90.0 L,,₹6.73 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.0 L,,₹6.0 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹21.0 L,,₹5.12 K/sq.ft,,None sq.ft,
Malhotra Floors 2,1 BHK Flat for sale in Dwarka Mor,₹20.0 L,,₹5.0 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.17 K/sq.ft,,None sq.ft,
Munish Manchanda Atero Affordables And Luxury Homes,2 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹1.25 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹40.0 L,,₹4.0 K/sq.ft,,None sq.ft,
SIDHATRI Enclave,3 BHK Flat for sale in Dwarka Mor,₹40.0 L,,₹4.38 K/sq.ft,,None sq.ft,
,2 BHK Flat for sale in Dwarka Mor,₹30.0 L,,₹4.55 K/sq.ft,East,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹22.5 L,,₹10.0 K/sq.ft,North,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹48.0 L,,₹5.33 K/sq.ft,South,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹20.0 L,,₹5.33 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹18.0 L,,₹4.0 K/sq.ft,,None sq.ft,
RWA C,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.73 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹16.0 L,,₹4.44 K/sq.ft,South,None sq.ft,
green vlley,3 BHK Flat for sale in Dwarka Mor,₹44.51 L,,₹6.36 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹10.0 L,,₹2.17 K/sq.ft,,None sq.ft,
,1 RK Independent House for sale in Dwarka Mor,₹17.0 L,,₹3.82 K/sq.ft,,None sq.ft,
Standalone,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹14.0 L,,₹3.11 K/sq.ft,,None sq.ft,
City Luxury Homes,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.0 L,,₹3.68 K/sq.ft,,None sq.ft,
RWA C,4 BHK Independent House for sale in Dwarka Mor,₹65.0 L,,₹13.0 K/sq.ft,,None sq.ft,
The City View,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹60.0 L,,₹4.29 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹5.04 K/sq.ft,North,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹25.0 L,,₹3.85 K/sq.ft,North,None sq.ft,
,2 BHK Flat for sale in Dwarka Mor,₹40.0 L,,₹7.25 K/sq.ft,,None sq.ft,
Nawada,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹4.62 K/sq.ft,,None sq.ft,
,4 BHK Independent House for sale in Dwarka Mor,₹30.0 L,,₹11.11 K/sq.ft,East,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹33.0 L,,₹11.0 K/sq.ft,,None sq.ft,
,7 BHK Independent House for sale in Dwarka Mor,₹1.0 Cr,,₹4.01 K/sq.ft,East,None sq.ft,
Green apartment Jain road uttam nagar,1 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹5.56 K/sq.ft,,None sq.ft,
,1 BHK Flat for sale in Dwarka Mor,₹13.0 L,,₹3.61 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹1.5 Cr,,₹15.58 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.0 L,,₹4.67 K/sq.ft,,None sq.ft,
Laxmi Apartment,2 BHK Flat for sale in Dwarka Mor,₹20.0 L,,₹4.0 K/sq.ft,,None sq.ft,
Dwarka mod mohan,3 BHK Flat for sale in Dwarka Mor,₹41.0 L,,₹4.56 K/sq.ft,,None sq.ft,
No - A-100,2 BHK Flat for sale in Dwarka Mor,₹28.0 L,,₹5.09 K/sq.ft,,None sq.ft,
No - A-100,3 BHK Flat for sale in Dwarka Mor,₹41.0 L,,₹4.56 K/sq.ft,,None sq.ft,
Vrindawan Apartment vipin garden,3 BHK Flat for sale in Dwarka Mor,₹48.0 L,,₹5.33 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹34.5 L,,₹4.79 K/sq.ft,,None sq.ft,
,Residential Plot for sale in Dwarka Mor,₹35.0 L,,₹None K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹5.11 K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹40.0 L,,₹5.93 K/sq.ft,North,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹16.5 L,,₹4.13 K/sq.ft,,None sq.ft,
,Agricultural Land for sale in Dwarka Mor,₹20.0 L,,₹None K/sq.ft,,None sq.ft,
,3 BHK Independent House for sale in Dwarka Mor,₹50.0 L,,₹10.96 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.57 L,,₹6.08 K/sq.ft,North,None sq.ft,
Delhi Homes 4,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹34.0 L,,₹4.72 K/sq.ft,,None sq.ft,
Dwarka mor affordable homes,2 BHK Flat for sale in Dwarka Mor,₹33.0 L,,₹5.5 K/sq.ft,,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹12.5 L,,₹2.78 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹33.0 L,,₹6.17 K/sq.ft,East,None sq.ft,
,Residential Plot for sale in Dwarka Mor,₹1.28 Cr,,₹None K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹75.0 L,,₹7.44 K/sq.ft,,None sq.ft,
C block Sainik nagar,2 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹6.0 K/sq.ft,,None sq.ft,
Rama Park Apartment,3 BHK Flat for sale in Dwarka Mor,₹62.0 L,,₹6.56 K/sq.ft,,None sq.ft,
,3 BHK Flat for sale in Dwarka Mor,₹48.0 L,,₹4.74 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹3.8 K/sq.ft,South-west,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹40.0 L,,₹4.0 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹37.0 L,,₹5.69 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹29.0 L,,₹5.75 K/sq.ft,,None sq.ft,
A 72,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹82.0 L,,₹7.29 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹60.0 L,,₹5.77 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹42.0 L,,₹4.67 K/sq.ft,,None sq.ft,
Shiv Ganga Homes,3 BHK Flat for sale in Dwarka Mor,₹61.5 L,,₹6.15 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹4.49 K/sq.ft,,None sq.ft,
Ashiyana Apartment,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹27.0 L,,₹3.0 K/sq.ft,,None sq.ft,
R R Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹52.0 L,,₹3.77 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹36.79 L,,₹5.45 K/sq.ft,North,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹60.0 L,,₹5.21 K/sq.ft,West,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹44.0 L,,₹4.36 K/sq.ft,East,None sq.ft,
,2 BHK Independent House for sale in Dwarka Mor,₹80.0 L,,₹5.99 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹38.0 L,,₹6.03 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹4.63 K/sq.ft,East,None sq.ft,
SG,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹6.5 K/sq.ft,,None sq.ft,
Shiv Ganga Homes,4 BHK Flat for sale in Dwarka Mor,₹63.0 L,,₹6.3 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹4.09 K/sq.ft,East,None sq.ft,
Green Apartment,1 BHK Flat for sale in Dwarka Mor,₹25.0 L,,₹6.22 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹90.0 L,,₹6.67 K/sq.ft,North-east,None sq.ft,
Radha Apartment Dwarka mor,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹35.0 L,,₹3.85 K/sq.ft,,None sq.ft,
,Residential Plot for sale in Dwarka Mor,₹60.0 L,,₹None K/sq.ft,,None sq.ft,
K D Homes,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹58.0 L,,₹4.3 K/sq.ft,,None sq.ft,
Om Niwas,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹33.0 L,,₹3.75 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.5 L,,₹5.0 K/sq.ft,North-east,None sq.ft,
,Prem Affordable Homes3.1RERA,₹22.5 L - 45 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,500.0 sq.ft,"Nov, 2019"
,AGS Homes - 64.2,₹18.0 L,1 BHK Independent Floor for sale in Dwarka Mor,₹3.33 K/sq.ft,,540.0 sq.ft,"Jun, 2015"
,The Comfy Homes,₹23.0 L - 45.0 L,"2, 3 BHK Flats for sale in Sewak Park",₹None K/sq.ft,,560.0 sq.ft,"May, 2023"
,S Gambhir The Affordabless,₹15.0 L - 21.0 L,1 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,350.0 sq.ft,"May, 2022"
,Chanchal Affordables And Luxury Homes3.8RERA,₹15.0 L - 60.0 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Nov, 2021"
,Munish Manchanda Atero Affordables,₹18.45 L - 20.25 L,2 BHK Flat for sale in Dwarka Mor,₹4.5 K/sq.ft,,410.0 sq.ft,"Oct, 2019"
,Sai Om Sai Affordable Floors1,₹18 L - 35 L,"2, 3 BHK Builder Floors for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Dec, 2023"
,Property The Citiview,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Dec, 2023"
,Sidharth Homes,₹65 L - 85 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,900.0 sq.ft,"Sep, 2023"
,Sidharth Dwarka Mor Luxury Homes,₹65 L - 85 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,900.0 sq.ft,"Sep, 2023"
,Sidharth Rathi Luxury Homes,₹65 L - 85 L,3 BHK Builder Floor for sale in Dwarka Mor,₹None K/sq.ft,,900.0 sq.ft,"Sep, 2023"
,Sidharth Luxury Homes,₹65 L - 85 L,3 BHK Builder Floor for sale in Dwarka Mor,₹None K/sq.ft,,1080.0 sq.ft,"Sep, 2023"
,Sidharth Aman Luxury Homes,₹65 L - 85 L,3 BHK Builder Floor for sale in Dwarka Mor,₹None K/sq.ft,,900.0 sq.ft,"Sep, 2023"
,Gola Floors II	3,₹9 L - 19.0 L,2 BHK Independent Floor for sale in Dwarka Mor,₹None K/sq.ft,,360.0 sq.ft,"Jan, 2015"
,Sehgal's Home II,₹9.99 L,1 BHK Independent Floor for sale in Dwarka Mor,₹3.7 K/sq.ft,,270.0 sq.ft,"Mar, 2015"
,Property The Bhawan,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Jul, 2023"
,Western House Projects,₹32.76 L - 55.44 L,"2, 3 BHK Independent Floors for sale in Dwarka Mor",₹5.6 K/sq.ft,,585.0 sq.ft,"Oct, 2016"
,VB Homes,₹10.0 L - 36.5 L,"1 RK, 2 BHK Independent Floors for sale in Dwarka Mor",₹None K/sq.ft,,225.0 sq.ft,"Dec, 2015"
,Jai Durga Floors,₹16.8 L - 41.99 L,"1, 2, 3 BHK Independent Floors for sale in Sewak Park",₹4.67 K/sq.ft,,360.0 sq.ft,"Dec, 2014"
,Pratham Floors5,₹19 L,1 BHK Builder Floor for sale in Dwarka Mor,₹3.59 K/sq.ft,,450.0 sq.ft,"Jun, 2023"
,Pratham Residency3RERA,₹29 L,2 BHK Flat for sale in Dwarka Mor,₹3.91 K/sq.ft,,630.0 sq.ft,"Jun, 2023"
,Pratham Designer Floors5,₹27 L,2 BHK Flat for sale in Dwarka Mor,₹3.64 K/sq.ft,,630.0 sq.ft,"Jun, 2023"
,Pratham Luxury Floors,₹65 L,3 BHK Flat for sale in Dwarka Mor,₹6.14 K/sq.ft,,900.0 sq.ft,"Jun, 2023"
,Gambhir Homes IV,₹35.84 L,2 BHK Independent Floor for sale in Dwarka Mor,₹5.12 K/sq.ft,,700.0 sq.ft,"Feb, 2015"
,Sidhi Vinayak Homes 5,₹20.0 L,2 BHK Independent Floor for sale in Dwarka Mor,₹4.44 K/sq.ft,,450.0 sq.ft,"May, 2015"
,Jma Homes,₹35.0 L - 65.0 L,"3 BHK Independent Floor, Flat for sale in Dwarka Mor",₹None K/sq.ft,,894.0 sq.ft,"Apr, 2014"
,Kapeesh KBD Homes,₹25.0 L - 50.0 L,"1, 3 BHK Independent Floors for sale in Dwarka Mor",₹5.55 K/sq.ft,,450.0 sq.ft,"Aug, 2014"
,SSP Floors,₹23.87 L - 75.0 L,"2, 3 BHK Independent Floors for sale in Dwarka Mor",₹None K/sq.ft,,555.0 sq.ft,"Oct, 2016"
,Sameer Homes - I4.1,₹35.0 L,2 BHK Independent Floor for sale in Sewak Park,₹5.56 K/sq.ft,,630.0 sq.ft,"Nov, 2014"
,Sehgal Krishna Apartment,₹26 L - 36 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹4.0 K/sq.ft,,650.0 sq.ft,"May, 2014"
,JSS Homes 4,₹25.0 L,2 BHK Independent Floor for sale in Dwarka Mor,₹3.68 K/sq.ft,,680.0 sq.ft,"Mar, 2015"
,Bhardwaj Homes - III,₹35.0 L - 65.0 L,2 BHK Independent Floor for sale in Dwarka Mor,₹None K/sq.ft,,450.0 sq.ft,"Sep, 2014"
,Tushar Floors 1,₹27.5 L,2 BHK Independent Floor for sale in Dwarka Mor,₹5.09 K/sq.ft,,540.0 sq.ft,"Nov, 2014"
,Barka Gulati Floors I,₹35.0 L - 61.11 L,"2, 3 BHK Independent Floors for sale in Dwarka Mor",₹6.64 K/sq.ft,,540.0 sq.ft,"Apr, 2015"
,Shiv Pooja Home,₹37.0 L,3 BHK Independent Floor for sale in Dwarka Mor,₹4.11 K/sq.ft,,900.0 sq.ft,"Mar, 2017"
,MS Floor III,₹27 L,2 BHK Independent Floor for sale in Dwarka Mor,₹6.0 K/sq.ft,,450.0 sq.ft,"Dec, 2014"
,Vinayak Homes 24.9,₹18 L,1 BHK Independent Floor for sale in Dwarka Mor,₹4.0 K/sq.ft,,450.0 sq.ft,"Feb, 2015"
,Sameer Homes - II4.1,₹46.67 L,3.5 BHK Independent Floor for sale in Dwarka Mor,₹5.19 K/sq.ft,,900.0 sq.ft,"May, 2014"
,Sidhi Vinayak Homes 6,₹18 L,1 BHK Independent Floor for sale in Dwarka Mor,₹4.0 K/sq.ft,,450.0 sq.ft,"May, 2015"
,Vinayak Homes 94.7,₹19.07 L,2 BHK Independent Floor for sale in Dwarka Mor,₹4.24 K/sq.ft,,450.0 sq.ft,"Apr, 2015"
,Jma Homes - IX,₹65.0 L,3 BHK Independent Floor for sale in Dwarka Mor,₹5.86 K/sq.ft,,1110.0 sq.ft,"Aug, 2014"
,Swastik Metro View Luxury Floors5,₹32 L - 80 L,"3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,650.0 sq.ft,"May, 2023"
,The AamantranRERA,₹23.0 L - 45.0 L,"2, 3 BHK Flats for sale in Sewak Park",₹None K/sq.ft,,560.0 sq.ft,"May, 2023"
,The GrandProject,₹40.99 L - 75.0 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,770.0 sq.ft,"May, 2023"
,The City View,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"May, 2023"
,The Grand Society,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"May, 2023"
,The WestideRERA,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"May, 2023"
,The Grand Project1,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"May, 2023"
,The Aashrayam,₹23.0 L - 45.0 L,"2, 3 BHK Flats for sale in Sewak Park",₹None K/sq.ft,,560.0 sq.ft,"May, 2023"
,The Trail Apartments,₹23.0 L - 45.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,560.0 sq.ft,"May, 2023"
,Sidharth Affordable Homes1,₹28.5 L - 75 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"May, 2023"
,AGS Homes - 74.4,₹42.0 L,3 BHK Independent Floor for sale in Dwarka Mor,₹4.67 K/sq.ft,,900.0 sq.ft,"Aug, 2015"
,Guru Ji Infratech2,₹40 L - 85 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,800.0 sq.ft,"Apr, 2023"
,Guru Ji Builders4.4,Price on Request,"1, 2 BHK Flat, Builder Floors for sale in Dwarka Mor",₹None K/sq.ft,,400.0 sq.ft,"Apr, 2023"
,Guru Ji Builders And Developers 25,Price on Request,"1, 2, 3 BHK Builder Floor, Flats for sale in Dwarka Mor",₹None K/sq.ft,,400.0 sq.ft,"Apr, 2023"
,Guru Ji Builders And Developers3.3RERA,₹22 L - 35 L,2 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,550.0 sq.ft,"Apr, 2023"
,Guru Ji New HomesRERA,₹40 L - 70 L,"3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,800.0 sq.ft,"Apr, 2023"
,Guru Ji Builders And Developers 14,₹22 L - 90 L,"1, 2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Apr, 2023"
,Shree Ram Metro View Floors,₹20 L - 1 Cr,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Mar, 2023"
,Property The HomesRERA,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Mar, 2023"
,Shree Sai Bala Ji Homes3,₹10 L - 45 L,"1, 2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,400.0 sq.ft,"Mar, 2023"
,Property The Gokulam,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Mar, 2023"
,Property The ResidenceRERA,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Mar, 2023"
,Property The AashrayamRERA,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Mar, 2023"
,Mohit Apartment,₹25 L - 43 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Feb, 2023"
,Guru Ji Affordable And Luxury Homes4,₹20 L - 50 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,500.0 sq.ft,"Oct, 2019"
,GN HomesRERA,₹32.0 L - 53.33 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹5.92 K/sq.ft,,540.0 sq.ft,"Jan, 2023"
,Planner N Maker Affordable Floors,₹21 L - 1 Cr,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Jan, 2023"
,AKY Luxury HomeRERA,₹62.5 L,3 BHK Flat for sale in Dwarka Mor,₹5.9 K/sq.ft,,900.0 sq.ft,"Jan, 2023"
,Shiv Mahima Smart Floors,₹24 L - 60 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Jan, 2023"
,Delhi Homes Affordable Homes3.7,₹18 L - 45 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹4.5 K/sq.ft,,400.0 sq.ft,"Feb, 2020"
,Bharat Affordable Homes3.9,₹18.5 L - 65 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Feb, 2020"
,Aggarwal Shaurya Affordable FloorsRERA,₹15 L - 75 L,"1, 2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,360.0 sq.ft,"May, 2021"
,Guru Ji Welfare Homes5RERA,₹27 L - 1 Cr,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,500.0 sq.ft,"Dec, 2020"
,Green Valley NestRERA,₹23.5 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,460.0 sq.ft,"Dec, 2020"
,Green Valley Livings1RERA,₹23.5 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,460.0 sq.ft,"Nov, 2020"
,SSV Affordable Floors,₹21 L - 30 L,2 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,450.0 sq.ft,"Nov, 2020"
,SSV Affordable Floors,₹16 L - 70 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,400.0 sq.ft,"Nov, 2020"
,BMS Affordable HomesRERA,₹22 L - 75 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Feb, 2021"
,Om Smart Residency3.7RERA,₹32 L - 55 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,650.0 sq.ft,"Dec, 2020"
,Maa Laxmi Luxury Floors4.3RERA,₹32 L - 55 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,650.0 sq.ft,"Feb, 2021"
,Maa Laxmi Smart FloorsRERA,₹25 L - 45 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Dec, 2020"
,BR HomesRERA,₹22 L - 70 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,500.0 sq.ft,"Feb, 2021"
,Mahadev Luxury HomesRERA,₹30 L - 50 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Mar, 2021"
,Sh JMD The Vinayak 2RERA,₹23.0 L - 39.89 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Apr, 2021"
,Sh JMD FloorRERA,₹26 L - 65 L,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,585.0 sq.ft,"Apr, 2021"
,Sh JMD The SanskritiRERA,₹17 L - 45 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"May, 2021"
,Sh JMD The Ananta 2RERA,₹30 L - 44 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,630.0 sq.ft,"Apr, 2021"
,Mittal God Gift AppartmentRERA,₹48 L - 55 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,810.0 sq.ft,"May, 2021"
,Virat Affordable Homes,₹17 L - 44 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Sep, 2021"
,Swastik The Precious HomesRERA,₹17.0 L - 30 L,"1, 2 BHK Flats for sale in Dwarka Mor",₹4.93 K/sq.ft,,350.0 sq.ft,"Dec, 2021"
,Swastik The OAK ResidencyRERA,₹30.0 L - 45 L,3 BHK Flat for sale in Dwarka Mor,₹None K/sq.ft,,760.0 sq.ft,"Dec, 2021"
,The Versatile,₹22.0 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Dec, 2021"
,S Gambhir The Estonia5RERA,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"Dec, 2021"
,The Gambhir s ResidencyRERA,₹34.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,650.0 sq.ft,"Dec, 2021"
,S Gambhir The PalladiumRERA,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"Dec, 2021"
,Khatushhyam Regency Inn3RERA,₹23.0 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,550.0 sq.ft,"Jan, 2022"
,Guru Ji Affordable Homes 1,₹15 L - 33 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,350.0 sq.ft,"Feb, 2022"
,Jai Maa Homes1,₹15 L - 65 L,"1, 2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,420.0 sq.ft,"Jan, 2022"
,Devam Mitya HomesRERA,₹24 L - 48 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,530.0 sq.ft,"May, 2022"
,Mitya Metro View Apartment3.5RERA,₹29 L - 70 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,562.0 sq.ft,"May, 2022"
,Mitya HomesRERA,₹24 L - 70 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,530.0 sq.ft,"May, 2022"
,Manhar Mitya Homes2RERA,₹24 L - 50 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,530.0 sq.ft,"May, 2022"
,Goyal Sandeep Affordable Floors4.5,₹45 L - 90 L,"3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,720.0 sq.ft,"Feb, 2022"
,Mitya Park Royal Apartment4RERA,₹21 L - 55 L,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,530.0 sq.ft,"May, 2022"
,Jai Affordable And Luxury HomeRERA,₹15 L - 38 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Jun, 2022"
,Naveen Luxurious Floors3.5,₹16 L - 55 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Aug, 2022"
,ACRES HOME5RERA,₹16 L - 35 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"May, 2022"
