Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹50.0 L,,₹5.56 K/sq.ft,West,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹26.0 L,,₹4.81 K/sq.ft,West,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹80.0 L,,₹6.67 K/sq.ft,South-west,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.52 K/sq.ft,,None sq.ft,
S Gambhir Homes II,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹19.0 L,,₹3.84 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹38.0 L,,₹4.69 K/sq.ft,North,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹5.56 K/sq.ft,,None sq.ft,
8 Majestic Home by 8 Majestic Home,4 BHK Flat for sale in Dwarka Mor,₹64.0 L,,₹5.57 K/sq.ft,,None sq.ft,
RP Affordable Homes,3 BHK Flat for sale in Dwarka Mor,₹50.5 L,,₹5.61 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹5.75 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹5.75 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹61.0 L,,₹6.63 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹23.0 L,,₹5.75 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.52 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹41.0 L,,₹6.12 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
